
Note: No compatibility mode selected!


Circuit: Piezo Microphone Preamplifier

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 501

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
1                                          3.3
piezo                                        0
in                                           0
xu1.int1                                     0
buf1                                         0
ac_coupled                              3.2996
vbias                                   3.2996
fb                                     3.29923
xu2.int1                               36.6248
out                                    36.2915
out_filtered                                 0
e.xu2.egain#branch                 -0.00333222
e.xu1.egain#branch                           0
vpiezo#branch                                0
vdd#branch                         -4.0295e-09

doAnalyses: TRAN:  Timestep too small; time = 3.17546e-06, timestep = 0: cause unrecorded.


run simulation(s) aborted

Warning: command 'plot' is not available during batch simulation, ignored!
    You may use Gnuplot instead.


Warning: command 'plot' is not available during batch simulation, ignored!
    You may use Gnuplot instead.


Warning: command 'plot' is not available during batch simulation, ignored!
    You may use Gnuplot instead.


Warning: command 'plot' is not available during batch simulation, ignored!
    You may use Gnuplot instead.

                         Piezo Microphone Preamplifier
                         Transient Analysis  Mon May 26 14:24:11  2025
--------------------------------------------------------------------------------
Index   time            v(vbias)        
--------------------------------------------------------------------------------
0	0.000000e+00	3.299597e+00	
1	1.000000e-08	7.535544e+00	
2	1.033062e-08	7.679929e+00	
3	1.099185e-08	7.977643e+00	
4	1.231431e-08	8.630167e+00	
5	1.495924e-08	1.020259e+01	
6	2.024910e-08	1.483992e+01	
7	3.082881e-08	3.699181e+01	
8	4.158517e-08	1.022149e+02	
9	5.517555e-08	4.229311e+02	
10	6.964670e-08	2.035667e+03	
11	8.545300e-08	1.239506e+04	
12	1.021771e-07	9.081742e+04	
13	1.197061e-07	8.013984e+05	
14	1.379248e-07	8.504244e+06	
15	1.567153e-07	1.077876e+08	
16	1.760003e-07	1.633703e+09	
17	1.957050e-07	2.956830e+10	
18	2.157700e-07	6.397835e+11	
19	2.361446e-07	1.658508e+13	
20	2.567853e-07	5.167678e+14	
21	2.776556e-07	1.945076e+16	
22	2.987241e-07	8.903648e+17	
23	3.199638e-07	5.002424e+19	
24	3.413518e-07	3.492748e+21	
25	3.628682e-07	3.082589e+23	
26	3.844959e-07	3.522363e+25	
27	4.062200e-07	5.398263e+27	
28	4.280280e-07	1.173406e+30	
29	4.499087e-07	3.997593e+32	
30	4.718526e-07	2.677437e+35	
31	4.938515e-07	1.101843e+39	
32	5.158981e-07	-1.30972e+42	
33	5.379862e-07	7.348475e+44	
